,Test Year,Cost,Algorithm,BestModel,Predictors
588,2016,20,LR,"LogisticRegression(penalty='none', solver='saga')",theory ARVs
594,2016,30,LR,"LogisticRegression(penalty='none', solver='saga')",theory ARVs
600,2016,40,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
606,2016,50,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
624,2017,1,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
636,2017,20,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
642,2017,30,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
648,2017,40,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
654,2017,50,LR,"LogisticRegression(C=0.1, penalty='none')",theory ARVs
864,2015,1,SVM,"SVC(C=0.1, kernel='linear')",theory ARVs
876,2015,20,SVM,SVC(C=10.0),theory ARVs
882,2015,30,SVM,"SVC(C=10.0, gamma='auto')",theory ARVs
888,2015,40,SVM,SVC(kernel='linear'),theory ARVs
894,2015,50,SVM,SVC(kernel='linear'),theory ARVs
912,2016,1,SVM,"SVC(C=0.1, kernel='linear')",theory ARVs
924,2016,20,SVM,SVC(C=10.0),theory ARVs
930,2016,30,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
936,2016,40,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
942,2016,50,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
960,2017,1,SVM,"SVC(C=0.1, kernel='linear')",theory ARVs
972,2017,20,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
978,2017,30,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
984,2017,40,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
990,2017,50,SVM,"SVC(C=10.0, kernel='linear')",theory ARVs
1200,2015,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto',
                           min_samples_split=6)",theory ARVs
1212,2015,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",theory ARVs
1218,2015,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3)",theory ARVs
1224,2015,40,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1230,2015,50,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",theory ARVs
1248,2016,1,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1260,2016,20,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1266,2016,30,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1272,2016,40,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1278,2016,50,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=4,
                           min_weight_fraction_leaf=0.3)",theory ARVs
1296,2017,1,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1308,2017,20,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1314,2017,30,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1320,2017,40,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1326,2017,50,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6)",theory ARVs
1536,2015,1,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",theory ARVs
1548,2015,20,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",theory ARVs
1554,2015,30,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",theory ARVs
1560,2015,40,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",theory ARVs
1566,2015,50,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",theory ARVs
1584,2016,1,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', n_estimators=50)",theory ARVs
1596,2016,20,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', n_estimators=50)",theory ARVs
1602,2016,30,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', n_estimators=50)",theory ARVs
1608,2016,40,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', n_estimators=50)",theory ARVs
1614,2016,50,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', n_estimators=50)",theory ARVs
1632,2017,1,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",theory ARVs
1644,2017,20,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",theory ARVs
1650,2017,30,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",theory ARVs
1656,2017,40,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",theory ARVs
1662,2017,50,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",theory ARVs
1872,2015,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1884,2015,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=10,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1890,2015,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=10,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1896,2015,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=10,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1902,2015,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=10,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1920,2016,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1932,2016,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1938,2016,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1944,2016,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1950,2016,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1968,2017,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1980,2017,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1986,2017,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1992,2017,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
1998,2017,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",theory ARVs
