Test Year,Misclassification Cost Ratio,Algorithm,Tuned Model
2012,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=70)"
2012,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=70)"
2012,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=70)"
2013,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)"
2013,5,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)"
2013,10,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)"
2013,15,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)"
2013,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)"
2013,25,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)"
2013,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,35,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,45,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,60,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,70,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2013,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=0.5, n_estimators=30)"
2014,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2014,5,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2014,10,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,15,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,25,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,35,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,45,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,60,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,70,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2014,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)"
2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=70)"
2015,5,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5)"
2015,10,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5)"
2015,15,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5)"
2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,25,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,35,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,45,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,60,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,70,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2015,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)"
2016,1,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5))
2016,5,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5))
2016,10,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,15,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,25,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,35,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,45,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,60,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,70,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2016,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)"
2017,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)"
2017,5,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)"
2017,10,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)"
2017,15,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,25,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,35,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,45,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,60,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,70,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,80,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,90,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2017,100,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)"
2011,1,LR,LogisticRegression(C=0.1)
2011,5,LR,LogisticRegression(C=0.1)
2011,10,LR,LogisticRegression(C=0.1)
2011,15,LR,"LogisticRegression(C=0.1, solver='sag')"
2011,20,LR,"LogisticRegression(C=0.1, solver='sag')"
2011,25,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,30,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,35,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,40,LR,LogisticRegression(C=0.1)
2011,45,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,50,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,60,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,70,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,80,LR,"LogisticRegression(C=0.1, solver='saga')"
2011,90,LR,LogisticRegression(C=0.1)
2011,100,LR,LogisticRegression(C=0.1)
2012,1,LR,LogisticRegression(C=10.0)
2012,5,LR,LogisticRegression(C=10.0)
2012,10,LR,LogisticRegression(C=10.0)
2012,15,LR,LogisticRegression(C=10.0)
2012,20,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,25,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,30,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,35,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,40,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,45,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,50,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,60,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,70,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,80,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,90,LR,"LogisticRegression(C=0.1, penalty='none')"
2012,100,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,1,LR,"LogisticRegression(C=0.1, solver='saga')"
2013,5,LR,"LogisticRegression(C=0.1, solver='saga')"
2013,10,LR,"LogisticRegression(C=0.1, solver='saga')"
2013,15,LR,"LogisticRegression(C=0.1, solver='saga')"
2013,20,LR,LogisticRegression(C=10.0)
2013,25,LR,LogisticRegression(C=10.0)
2013,30,LR,LogisticRegression(C=10.0)
2013,35,LR,LogisticRegression(C=10.0)
2013,40,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,45,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,50,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,60,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,70,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,80,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,90,LR,"LogisticRegression(C=0.1, penalty='none')"
2013,100,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,1,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,5,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,10,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,15,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,20,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,25,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,30,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,35,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,40,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,45,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,50,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,60,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,70,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,80,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,90,LR,"LogisticRegression(C=0.1, penalty='none')"
2014,100,LR,"LogisticRegression(C=0.1, penalty='none')"
2015,1,LR,"LogisticRegression(C=0.1, penalty='none')"
2015,5,LR,LogisticRegression(C=10.0)
2015,10,LR,LogisticRegression(C=10.0)
2015,15,LR,LogisticRegression(C=10.0)
2015,20,LR,LogisticRegression(C=10.0)
2015,25,LR,LogisticRegression(C=10.0)
2015,30,LR,LogisticRegression(C=10.0)
2015,35,LR,LogisticRegression(C=10.0)
2015,40,LR,LogisticRegression(C=10.0)
2015,45,LR,LogisticRegression(C=10.0)
2015,50,LR,LogisticRegression(C=10.0)
2015,60,LR,LogisticRegression(C=10.0)
2015,70,LR,LogisticRegression(C=10.0)
2015,80,LR,LogisticRegression(C=10.0)
2015,90,LR,LogisticRegression(C=10.0)
2015,100,LR,LogisticRegression(C=10.0)
2016,1,LR,LogisticRegression()
2016,5,LR,LogisticRegression()
2016,10,LR,LogisticRegression()
2016,15,LR,LogisticRegression()
2016,20,LR,LogisticRegression()
2016,25,LR,LogisticRegression()
2016,30,LR,LogisticRegression()
2016,35,LR,LogisticRegression()
2016,40,LR,LogisticRegression()
2016,45,LR,LogisticRegression()
2016,50,LR,LogisticRegression()
2016,60,LR,LogisticRegression(C=10.0)
2016,70,LR,LogisticRegression(C=10.0)
2016,80,LR,LogisticRegression(C=10.0)
2016,90,LR,LogisticRegression(C=10.0)
2016,100,LR,LogisticRegression(C=10.0)
2017,1,LR,LogisticRegression(solver='sag')
2017,5,LR,LogisticRegression(solver='sag')
2017,10,LR,LogisticRegression(solver='sag')
2017,15,LR,LogisticRegression(solver='sag')
2017,20,LR,LogisticRegression(solver='sag')
2017,25,LR,LogisticRegression(solver='sag')
2017,30,LR,LogisticRegression(solver='sag')
2017,35,LR,LogisticRegression(solver='sag')
2017,40,LR,LogisticRegression(solver='sag')
2017,45,LR,LogisticRegression(solver='sag')
2017,50,LR,LogisticRegression(solver='sag')
2017,60,LR,LogisticRegression(solver='sag')
2017,70,LR,LogisticRegression(solver='sag')
2017,80,LR,LogisticRegression(solver='sag')
2017,90,LR,LogisticRegression(solver='sag')
2017,100,LR,LogisticRegression(solver='sag')
2011,1,SVM,"SVC(C=0.1, kernel='linear')"
2011,5,SVM,"SVC(C=0.1, kernel='linear')"
2011,10,SVM,"SVC(C=0.1, kernel='linear')"
2011,15,SVM,"SVC(C=0.1, kernel='linear')"
2011,20,SVM,"SVC(C=0.1, kernel='linear')"
2011,25,SVM,"SVC(C=10.0, kernel='poly')"
2011,30,SVM,"SVC(C=10.0, kernel='poly')"
2011,35,SVM,"SVC(C=10.0, kernel='poly')"
2011,40,SVM,"SVC(C=10.0, kernel='poly')"
2011,45,SVM,"SVC(C=10.0, kernel='poly')"
2011,50,SVM,"SVC(C=10.0, kernel='poly')"
2011,60,SVM,"SVC(C=10.0, kernel='poly')"
2011,70,SVM,"SVC(C=10.0, kernel='poly')"
2011,80,SVM,"SVC(C=10.0, kernel='poly')"
2011,90,SVM,"SVC(C=10.0, kernel='poly')"
2011,100,SVM,"SVC(C=10.0, kernel='poly')"
2012,1,SVM,"SVC(C=0.1, kernel='linear')"
2012,5,SVM,"SVC(C=0.1, kernel='linear')"
2012,10,SVM,"SVC(C=10.0, kernel='linear')"
2012,15,SVM,"SVC(C=10.0, kernel='linear')"
2012,20,SVM,"SVC(C=10.0, kernel='linear')"
2012,25,SVM,SVC(C=10.0)
2012,30,SVM,SVC(C=10.0)
2012,35,SVM,SVC(C=10.0)
2012,40,SVM,SVC(C=10.0)
2012,45,SVM,SVC(C=10.0)
2012,50,SVM,SVC(C=10.0)
2012,60,SVM,SVC(C=10.0)
2012,70,SVM,SVC(C=10.0)
2012,80,SVM,SVC(C=10.0)
2012,90,SVM,SVC(C=10.0)
2012,100,SVM,SVC(C=10.0)
2013,1,SVM,"SVC(C=0.1, kernel='linear')"
2013,5,SVM,"SVC(C=0.1, kernel='linear')"
2013,10,SVM,"SVC(C=0.1, kernel='linear')"
2013,15,SVM,SVC(C=10.0)
2013,20,SVM,SVC(C=10.0)
2013,25,SVM,SVC(C=10.0)
2013,30,SVM,"SVC(C=10.0, kernel='linear')"
2013,35,SVM,SVC(C=10.0)
2013,40,SVM,SVC(C=10.0)
2013,45,SVM,SVC(C=10.0)
2013,50,SVM,SVC(C=10.0)
2013,60,SVM,SVC(C=10.0)
2013,70,SVM,SVC(C=10.0)
2013,80,SVM,SVC(C=10.0)
2013,90,SVM,SVC(C=10.0)
2013,100,SVM,SVC(C=10.0)
2014,1,SVM,"SVC(C=0.1, kernel='linear')"
2014,5,SVM,"SVC(C=0.1, kernel='linear')"
2014,10,SVM,"SVC(C=0.1, kernel='linear')"
2014,15,SVM,SVC(kernel='poly')
2014,20,SVM,SVC(C=10.0)
2014,25,SVM,SVC(C=10.0)
2014,30,SVM,SVC(C=10.0)
2014,35,SVM,"SVC(C=10.0, gamma='auto')"
2014,40,SVM,"SVC(C=10.0, gamma='auto')"
2014,45,SVM,"SVC(C=10.0, gamma='auto')"
2014,50,SVM,"SVC(C=10.0, gamma='auto')"
2014,60,SVM,"SVC(C=10.0, gamma='auto')"
2014,70,SVM,"SVC(C=10.0, gamma='auto')"
2014,80,SVM,"SVC(C=10.0, gamma='auto')"
2014,90,SVM,"SVC(C=10.0, gamma='auto')"
2014,100,SVM,"SVC(C=10.0, gamma='auto')"
2015,1,SVM,"SVC(C=0.1, kernel='linear')"
2015,5,SVM,"SVC(C=0.1, kernel='linear')"
2015,10,SVM,SVC(C=10.0)
2015,15,SVM,SVC(C=10.0)
2015,20,SVM,SVC(C=10.0)
2015,25,SVM,SVC(C=10.0)
2015,30,SVM,"SVC(C=10.0, gamma='auto')"
2015,35,SVM,SVC(C=10.0)
2015,40,SVM,SVC(C=10.0)
2015,45,SVM,SVC(C=10.0)
2015,50,SVM,SVC(C=10.0)
2015,60,SVM,SVC(C=10.0)
2015,70,SVM,SVC(C=10.0)
2015,80,SVM,SVC(C=10.0)
2015,90,SVM,SVC(C=10.0)
2015,100,SVM,SVC(C=10.0)
2016,1,SVM,"SVC(C=0.1, kernel='linear')"
2016,5,SVM,"SVC(C=0.1, kernel='linear')"
2016,10,SVM,"SVC(C=0.1, kernel='linear')"
2016,15,SVM,"SVC(C=0.1, kernel='linear')"
2016,20,SVM,SVC(C=10.0)
2016,25,SVM,SVC(C=10.0)
2016,30,SVM,"SVC(C=10.0, gamma='auto')"
2016,35,SVM,"SVC(C=10.0, gamma='auto')"
2016,40,SVM,"SVC(C=10.0, gamma='auto')"
2016,45,SVM,"SVC(C=10.0, gamma='auto')"
2016,50,SVM,"SVC(C=10.0, gamma='auto')"
2016,60,SVM,"SVC(C=10.0, gamma='auto')"
2016,70,SVM,"SVC(C=10.0, gamma='auto')"
2016,80,SVM,"SVC(C=10.0, gamma='auto')"
2016,90,SVM,"SVC(C=10.0, gamma='auto')"
2016,100,SVM,"SVC(C=10.0, gamma='auto')"
2017,1,SVM,"SVC(C=0.1, kernel='linear')"
2017,5,SVM,"SVC(C=0.1, kernel='linear')"
2017,10,SVM,"SVC(C=0.1, kernel='linear')"
2017,15,SVM,"SVC(C=0.1, kernel='linear')"
2017,20,SVM,"SVC(C=10.0, gamma='auto')"
2017,25,SVM,"SVC(C=10.0, gamma='auto')"
2017,30,SVM,"SVC(C=10.0, gamma='auto')"
2017,35,SVM,SVC(gamma='auto')
2017,40,SVM,"SVC(C=0.1, kernel='linear')"
2017,45,SVM,SVC(C=10.0)
2017,50,SVM,"SVC(C=0.1, kernel='linear')"
2017,60,SVM,"SVC(C=0.1, kernel='linear')"
2017,70,SVM,"SVC(C=0.1, kernel='linear')"
2017,80,SVM,"SVC(C=0.1, kernel='linear')"
2017,90,SVM,"SVC(C=0.1, kernel='linear')"
2017,100,SVM,"SVC(C=0.1, kernel='linear')"
2011,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2011,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3)"
2011,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
